2021-11-18 03:24:44,979 - 20
2021-11-18 03:24:45,046 - 25
2021-11-18 03:24:45,112 - 22
2021-11-18 03:24:45,173 - 50
2021-11-18 03:24:45,252 - 40
2021-11-18 03:24:45,330 - 34
2021-11-18 03:24:45,406 - 80
2021-11-18 03:25:30,373 - 10
2021-11-18 03:25:30,435 - 10
2021-11-18 03:25:30,502 - 20
2021-11-18 03:25:30,583 - 25
2021-11-18 03:25:30,646 - 22
2021-11-18 03:25:30,710 - 50
2021-11-18 03:25:30,777 - 40
2021-11-18 03:25:30,840 - 34
2021-11-18 03:25:30,903 - 80
2021-11-18 03:28:37,774 - 10
2021-11-18 03:28:37,860 - 10
2021-11-18 03:28:37,955 - 20
2021-11-18 03:28:38,035 - 25
2021-11-18 03:28:38,110 - 22
2021-11-18 03:28:38,191 - 50
2021-11-18 03:28:38,260 - 40
2021-11-18 03:28:38,330 - 34
2021-11-18 03:28:38,394 - 80
2021-11-18 03:38:03,279 - 10
2021-11-18 03:38:03,367 - 10
2021-11-18 03:38:03,430 - 20
2021-11-18 03:38:03,494 - 25
2021-11-18 03:38:03,556 - 22
2021-11-18 03:38:03,630 - 50
2021-11-18 03:38:03,698 - 40
2021-11-18 03:38:03,760 - 34
2021-11-18 03:38:03,823 - 80
2021-11-18 03:44:03,142 - 10
2021-11-18 03:44:03,248 - 10
2021-11-18 03:44:03,324 - 20
2021-11-18 03:44:03,389 - 25
2021-11-18 03:44:03,581 - 22
2021-11-18 03:44:04,108 - 50
2021-11-18 03:44:04,173 - 40
2021-11-18 03:44:04,301 - 34
2021-11-18 03:44:04,364 - 80
2021-11-18 04:02:10,541 - 10
2021-11-18 04:02:10,753 - 10
2021-11-18 04:02:12,095 - 20
2021-11-18 04:02:14,478 - 25
2021-11-18 04:02:14,677 - 22
2021-11-18 04:02:14,750 - 50
2021-11-18 04:02:14,821 - 40
2021-11-18 04:02:14,956 - 34
2021-11-18 04:02:15,028 - 80
2021-11-18 04:03:26,809 - 10
2021-11-18 04:03:26,884 - 10
2021-11-18 04:03:26,956 - 20
2021-11-18 04:03:27,028 - 25
2021-11-18 04:03:27,100 - 22
2021-11-18 04:03:27,170 - 50
2021-11-18 04:03:27,242 - 40
2021-11-18 04:03:27,314 - 34
2021-11-18 04:03:27,389 - 80
2021-11-18 04:03:40,825 - 10
2021-11-18 04:03:40,958 - 10
2021-11-18 04:03:41,037 - 20
2021-11-18 04:03:41,111 - 25
2021-11-18 04:03:41,178 - 22
2021-11-18 04:03:41,254 - 50
2021-11-18 04:03:41,366 - 40
2021-11-18 04:03:41,749 - 34
2021-11-18 04:03:41,812 - 80
2021-11-18 04:04:05,326 - 10
2021-11-18 04:04:05,511 - 10
2021-11-18 04:04:05,743 - 20
2021-11-18 04:04:05,805 - 25
2021-11-18 04:04:05,870 - 22
2021-11-18 04:04:05,940 - 50
2021-11-18 04:04:06,017 - 40
2021-11-18 04:04:06,089 - 34
2021-11-18 04:04:06,159 - 80
2021-11-18 04:04:27,390 - 10
2021-11-18 04:04:27,459 - 10
2021-11-18 04:04:27,533 - 20
2021-11-18 04:04:27,595 - 25
2021-11-18 04:04:27,657 - 22
2021-11-18 04:04:27,722 - 50
2021-11-18 04:04:27,790 - 40
2021-11-18 04:04:27,852 - 34
2021-11-18 04:04:27,914 - 80
2021-11-18 04:05:05,059 - 10
2021-11-18 04:05:05,134 - 10
2021-11-18 04:05:05,200 - 20
2021-11-18 04:05:05,265 - 25
2021-11-18 04:05:05,327 - 22
2021-11-18 04:05:05,388 - 50
2021-11-18 04:05:05,453 - 40
2021-11-18 04:05:05,515 - 34
2021-11-18 04:05:05,577 - 80
2021-11-18 04:07:59,759 - 10
2021-11-18 04:08:00,042 - 10
2021-11-18 04:08:00,113 - 20
2021-11-18 04:08:00,183 - 25
2021-11-18 04:08:00,258 - 22
2021-11-18 04:08:00,328 - 50
2021-11-18 04:08:00,419 - 40
2021-11-18 04:08:00,509 - 34
2021-11-18 04:08:00,581 - 80
2021-11-18 14:36:22,323 - 10
2021-11-18 14:36:22,466 - 10
2021-11-18 14:36:22,538 - 20
2021-11-18 14:36:22,612 - 25
2021-11-18 14:36:22,688 - 22
2021-11-18 14:36:22,762 - 50
2021-11-18 14:36:22,834 - 40
2021-11-18 14:36:22,912 - 34
2021-11-18 14:36:22,986 - 80
2021-11-18 17:38:00,513 - 10
2021-11-18 17:38:00,660 - 10
2021-11-18 17:38:01,044 - 20
2021-11-18 17:38:01,121 - 25
2021-11-18 17:38:01,197 - 22
2021-11-18 17:38:01,274 - 50
2021-11-18 17:38:01,347 - 40
2021-11-18 17:38:01,420 - 34
2021-11-18 17:38:01,492 - 80
